date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:58	28782/28782	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20May%202021%2010:06:47%20GMT	https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/index.html	(from )
10:15:00	64/64	---MCZ	200	added ('OK')	text/plain	etag:W/%22607811a6-30%22	https://templatemag.com/robots.txt		(from )
10:15:01	34494/34494	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2260a634cf-86be%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/favicon.ico	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/favicon.ico	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:02	14746/14746	---M--	200	added ('OK')	image/png	etag:%2260a634ce-399a%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-144x144.png	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-144x144.png	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:03	9876/9876	---M--	200	added ('OK')	image/png	etag:%2260a634cf-2694%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-114x114.png	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-114x114.png	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:04	4539/4539	---M--	200	added ('OK')	image/png	etag:%2260a634ce-11bb%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-72x72.png	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-72x72.png	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:05	3100/3100	---M--	200	added ('OK')	image/png	etag:%2260a634cd-c1c%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-57x57.png	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/ico/apple-touch-icon-57x57.png	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:05	109518/109518	---MCZ	200	added ('OK')	text/css	etag:W/%2260a634b9-1abce%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:07	55788/55788	---MCZ	200	added ('OK')	text/css	etag:W/%2260a634b9-d9ec%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/animate.css	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/animate.css	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:08	26079/26079	---MCZ	200	added ('OK')	text/css	etag:W/%2260a634ba-65df%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/plugins.css	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/plugins.css	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:09	45909/45909	---MCZ	200	added ('OK')	text/css	etag:W/%2260a634ba-b355%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/style.css	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/style.css	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:09	20734/20734	---MCZ	200	added ('OK')	text/css	etag:W/%2260a634bb-50fe%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:11	8207/8207	---MCZ	200	added ('OK')	text/css	etag:W/%2260a634b9-200f%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/pe-icons.css	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/pe-icons.css	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/index.html)
10:15:12	20335/20335	---M--	200	added ('OK')	application/octet-stream	etag:%2260a634c3-4f6f%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.eot	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css)
10:15:13	20335/20335	URF---	200	added ('OK%20(cached)')	application/eot		https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.eot	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css)
10:15:13	20335/20335	---M--	200	added ('OK')	application/octet-stream	etag:%2260a634c3-4f6f%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.eot?	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css)
10:15:15	23320/23320	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2260a634c4-5b18%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.woff	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.woff	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css)
10:15:16	41280/41280	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2260a634c3-a140%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.ttf	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.ttf	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css)
10:15:18	62927/62927	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260a634c3-f5cf%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.svg	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.svg	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css)
10:15:18	41280/41280	UR-MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2260a634c3-a140%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.ttf	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/glyphicons-halflings-regular.ttf	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/bootstrap.min.css)
10:15:19	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2024%20Sep%202022%2004:45:18%20GMT	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/AjaxLoader.gif	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/AjaxLoader.11.delayed	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/plugins.css)
10:15:20	48794/48794	---M--	200	added ('OK')	image/png	etag:%2260a634c6-be9a%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/drag.png	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/img/drag.png	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/plugins.css)
10:15:20	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2024%20Sep%202022%2004:45:20%20GMT	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/grayscale.svg	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/grayscale.svg	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/style.css)
10:15:22	72449/72449	---M--	200	added ('OK')	application/octet-stream	etag:%2260a634bc-11b01%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.eot	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css)
10:15:23	72449/72449	URF---	200	added ('OK%20(cached)')	application/eot		https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.eot	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css)
10:15:24	72449/72449	---M--	200	added ('OK')	application/octet-stream	etag:%2260a634bc-11b01%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.eot?	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfontd41d.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css)
10:15:25	83760/83760	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2260a634bc-14730%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.woff	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.woff	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css)
10:15:26	141564/141564	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2260a634bc-228fc%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.ttf	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.ttf	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css)
10:15:27	253487/253487	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260a634bd-3de2f%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.svg	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/fonts/fontawesome-webfont.svg	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/font-awesome-4.1.0/css/font-awesome.min.css)
10:15:28	58680/58680	---M--	200	added ('OK')	application/octet-stream	etag:%2260a634c4-e538%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-stroke.eot?d7yf1v	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-strokebb1d.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/pe-icons.css)
10:15:29	58680/58680	URF---	200	added ('OK%20(cached)')	application/eot		https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-stroke.eot?d7yf1v	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-strokebb1d.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/pe-icons.css)
10:15:29	58680/58680	---M--	200	added ('OK')	application/octet-stream	etag:%2260a634c4-e538%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-stroke.eot?	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-stroked41d.eot	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/pe-icons.css)
10:15:31	58556/58556	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2260a634c4-e4bc%22	https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-stroke.woff?d7yf1v	/home/kumartej/websites/food_4/templatemag.com/demo/templates/Thegrill/animated-navigation/assets/fonts/Pe-icon-7-strokebb1d.woff	(from https://templatemag.com/demo/templates/Thegrill/animated-navigation/assets/css/pe-icons.css)
